prop_fem,quota_TRUE.
0.42369999999999997,1
0.25489999999999996,0
0.4355,0
0.325,0
0.1091,0
0.4075,0
0.0947,0
0.0993,0
0.1356,0
0.2071,1
0.001,0
0.19879999999999998,1
0.27390000000000003,1
0.09939999999999999,1
0.1935,0
0.3565,1
0.3214,1
0.2,1
0.5307999999999999,1
0.0254,1
0.25780000000000003,1
0.08839999999999999,0
0.2059,1
0.2231,1
0.4267,1
0.2651,0
0.30519999999999997,1
0.243,0
0.2771,1
0.358,1
0.3876,0
0.1197,0
0.1971,1
0.163,0
0.16329999999999997,1
0.0313,0
0.0556,0
0.2724,0
0.36560000000000004,1
0.060899999999999996,0
0.3497,1
0.1437,1
0.0723,0
0.0851,0
0.09449999999999999,1
0.20329999999999998,0
0.17120000000000002,1
0.396,0
0.2955,1
0.402,0
0.13269999999999998,1
0.1266,0
0.3148,1
0.2193,1
0.0916,0
0.25170000000000003,1
0.26039999999999996,0
0.2667,0
0.09519999999999999,0
0.3636,1
0.20829999999999999,1
0.114,0
0.1583,0
0.3333,1
0.3846,1
0.41609999999999997,1
0.26170000000000004,1
0.36450000000000005,0
0.1392,0
0.031,0
0.253,1
0.16269999999999998,0
0.3095,0
0.12,1
0.18,0
0.25,1
0.1096,1
0.16670000000000001,0
0.0588,0
0.14859999999999998,1
0.1696,1
0.37329999999999997,0
0.18309999999999998,1
0.027000000000000003,0
0.001,0
0.124,0
0.4,1
0.12,0
0.3134,1
0.1491,0
0.1209,0
0.2938,0
0.22219999999999998,1
0.316,1
0.3682,1
0.1069,1
0.1681,0
0.2727,0
0.3111,0
0.1489,0
0.23620000000000002,1
0.0894,1
0.0735,1
0.1273,1
0.2077,1
0.1417,0
0.0943,0
0.1133,0
0.1373,0
0.127,0
0.26170000000000004,0
0.1917,1
0.25,0
0.15960000000000002,1
0.2053,0
0.21780000000000002,0
0.41350000000000003,0
0.6375,1
0.1382,1
0.057800000000000004,0
0.061500000000000006,1
0.1905,0
0.17579999999999998,0
0.3095,0
0.2581,0
0.16,1
0.306,0
0.075,0
0.16670000000000001,0
0.3933,1
0.2143,1
0.20420000000000002,0
0.030299999999999997,0
0.1523,1
0.4886,0
0.125,0
0.2,0
0.3743,0
0.24,0
0.2376,0
0.16,0
0.415,0
0.1967,1
0.3043,1
0.15710000000000002,0
0.4127,0
0.2667,0
0.04,0
0.23399999999999999,0
0.2833,0
0.3333,1
0.1036,0
0.14300000000000002,0
0.1159,0
0.1728,1
0.314,0
0.39640000000000003,0
0.0118,0
0.15,1
0.13720000000000002,0
0.1818,0
0.19870000000000002,1
0.34,1
0.4375,0
0.2391,0
0.1867,0
0.3667,1
0.02,1
0.001,0
0.225,0
0.10099999999999999,0
0.244,1
